fecha,decena,unidad,numero
07/03/2024,9,9,99
08/03/2024,1,5,15
09/03/2024,4,1,41
11/03/2024,4,7,47
12/03/2024,8,0,80
13/03/2024,3,5,35
14/03/2024,8,8,88
15/03/2024,7,5,75
16/03/2024,0,0,00
18/03/2024,9,0,90
19/03/2024,8,3,83
20/03/2024,2,7,27
21/03/2024,1,8,18
22/03/2024,2,7,27
23/03/2024,4,8,48
25/03/2024,0,1,01
26/03/2024,7,0,70
27/03/2024,8,8,88
28/03/2024,3,4,34
30/03/2024,8,0,80
01/04/2024,6,4,64
02/04/2024,7,4,74
03/04/2024,1,4,14
04/04/2024,4,0,40
05/04/2024,9,2,92
06/04/2024,6,3,63
08/04/2024,7,9,79
09/04/2024,9,7,97
10/04/2024,9,7,97
11/04/2024,7,6,76
12/04/2024,5,1,51
13/04/2024,6,8,68
15/04/2024,0,1,01
16/04/2024,9,1,91
17/04/2024,8,1,81
18/04/2024,9,4,94
19/04/2024,0,1,01
20/04/2024,7,7,77
22/04/2024,1,6,16
23/04/2024,3,0,30
24/04/2024,1,0,10
25/04/2024,3,3,33
26/04/2024,1,9,19
27/04/2024,9,3,93
29/04/2024,6,9,69
30/04/2024,3,0,30
02/05/2024,5,1,51
03/05/2024,0,6,06
04/05/2024,0,6,06
06/05/2024,4,7,47
07/05/2024,3,3,33
08/05/2024,0,7,07
09/05/2024,0,2,02
10/05/2024,2,6,26
11/05/2024,3,5,35
13/05/2024,5,6,56
14/05/2024,4,2,42
15/05/2024,5,1,51
16/05/2024,2,6,26
17/05/2024,8,2,82
18/05/2024,4,9,49
20/05/2024,4,8,48
21/05/2024,0,2,02
22/05/2024,1,1,11
23/05/2024,5,5,55
24/05/2024,6,0,60
25/05/2024,1,4,14
27/05/2024,7,8,78
28/05/2024,6,0,60
29/05/2024,1,0,10
30/05/2024,9,2,92
31/05/2024,0,4,04
01/06/2024,0,9,09
03/06/2024,5,7,57
04/06/2024,8,3,83
05/06/2024,6,2,62
06/06/2024,2,9,29
07/06/2024,1,2,12
08/06/2024,0,7,07
10/06/2024,2,9,29
11/06/2024,2,1,21
12/06/2024,9,7,97
13/06/2024,0,3,03
14/06/2024,9,1,91
15/06/2024,5,2,52
17/06/2024,5,1,51
18/06/2024,6,8,68
19/06/2024,9,6,96
20/06/2024,5,1,51
21/06/2024,0,1,01
22/06/2024,9,4,94
24/06/2024,6,9,69
25/06/2024,1,6,16
26/06/2024,1,3,13
27/06/2024,0,2,02
28/06/2024,6,8,68
29/06/2024,6,9,69
02/07/2024,1,6,16
03/07/2024,7,7,77
04/07/2024,7,3,73
05/07/2024,3,9,39
06/07/2024,0,7,07
08/07/2024,9,2,92
09/07/2024,6,3,63
10/07/2024,7,2,72
11/07/2024,7,9,79
12/07/2024,8,4,84
13/07/2024,0,2,02
15/07/2024,2,2,22
16/07/2024,2,0,20
17/07/2024,6,7,67
18/07/2024,9,5,95
19/07/2024,7,3,73
20/07/2024,1,4,14
22/07/2024,4,9,49
23/07/2024,0,1,01
24/07/2024,8,0,80
25/07/2024,5,4,54
26/07/2024,3,9,39
27/07/2024,1,2,12
29/07/2024,1,2,12
30/07/2024,7,6,76
31/07/2024,6,5,65
01/08/2024,7,3,73
02/08/2024,5,7,57
03/08/2024,3,2,32
05/08/2024,1,8,18
06/08/2024,7,4,74
07/08/2024,7,7,77
08/08/2024,3,5,35
09/08/2024,6,9,69
10/08/2024,0,7,07
12/08/2024,9,0,90
13/08/2024,0,9,09
14/08/2024,9,3,93
16/08/2024,8,7,87
17/08/2024,1,7,17
19/08/2024,7,4,74
20/08/2024,5,1,51
21/08/2024,9,4,94
22/08/2024,4,9,49
23/08/2024,8,0,80
24/08/2024,4,3,43
26/08/2024,9,9,99
27/08/2024,5,2,52
28/08/2024,3,6,36
29/08/2024,2,6,26
30/08/2024,9,6,96
31/08/2024,8,8,88
02/09/2024,9,0,90
03/09/2024,3,5,35
04/09/2024,1,9,19
05/09/2024,8,2,82
06/09/2024,2,2,22
07/09/2024,7,0,70
09/09/2024,1,1,11
10/09/2024,0,2,02
11/09/2024,2,8,28
12/09/2024,3,3,33
13/09/2024,1,0,10
16/09/2024,9,0,90
17/09/2024,2,6,26
18/09/2024,6,7,67
19/09/2024,8,2,82
20/09/2024,6,2,62
21/09/2024,9,6,96
23/09/2024,1,1,11
24/09/2024,6,2,62
25/09/2024,3,7,37
26/09/2024,7,9,79
27/09/2024,3,3,33
28/09/2024,1,8,18
30/09/2024,6,4,64
1/10/2024,1,5,15
2/10/2024,1,3,13
3/10/2024,6,8,68
4/10/2024,8,8,88
5/10/2024,6,3,63
7/10/2024,0,9,09
8/10/2024,7,2,72
9/10/2024,0,5,05
10/10/2024,8,1,81
11/10/2024,2,9,29
12/10/2024,9,0,90
14/10/2024,8,6,86
15/10/2024,1,3,13
16/10/2024,7,2,72
17/10/2024,3,7,37
18/10/2024,4,9,49
19/10/2024,2,8,28
21/10/2024,3,2,32
22/10/2024,3,2,32
23/10/2024,6,8,68
24/10/2024,2,6,26
25/10/2024,0,7,07
26/10/2024,0,7,07
28/10/2024,0,9,09
29/10/2024,1,1,11
30/10/2024,1,3,13
31/10/2024,7,3,73
2/11/2024,5,3,53
4/11/2024,7,2,72
5/11/2024,3,0,30
6/11/2024,7,4,74
7/11/2024,9,7,97
8/11/2024,9,0,90
9/11/2024,8,4,84
11/11/2024,6,7,67
12/11/2024,1,2,12
13/11/2024,0,1,01
14/11/2024,1,8,18
15/11/2024,6,0,60
16/11/2024,1,4,14
18/11/2024,3,0,30
19/11/2024,2,7,27
20/11/2024,2,5,25
21/11/2024,9,1,91
22/11/2024,9,7,97
23/11/2024,7,5,75
25/11/2024,3,2,32
26/11/2024,4,3,43
27/11/2024,9,0,90
28/11/2024,4,6,46
29/11/2024,7,4,74
30/11/2024,9,6,96
2/12/2024,0,8,08
3/12/2024,2,1,21
4/12/2024,0,0,00
5/12/2024,8,6,86
6/12/2024,1,8,18
7/12/2024,3,8,38
9/12/2024,9,0,90
10/12/2024,9,3,93
11/12/2024,1,4,14
12/12/2024,1,0,10
13/12/2024,3,0,30
14/12/2024,0,9,09
16/12/2024,7,6,76
17/12/2024,6,0,60
18/12/2024,0,4,04
19/12/2024,7,2,72
20/12/2024,4,5,45
21/12/2024,8,8,88
23/12/2024,0,5,05
26/12/2024,4,3,43
